번호	상호	영업표지	대표자	등록번호	최초등록일	업종
5512	(주)경성키친	하노이배쌀집	최보선	20214407	2021.11.08	기타 외식
5511	(주)경성키친	태리피자	최보선	20213056	2021.10.21	피자
5510	(주)경성키친	썬즈오렌지커피	최보선	20213045	2021.10.21	커피
5509	(주)경성키친	와인살롱	최보선	20213055	2021.10.21	주점
5508	(주)경성키친	이화육감부	최보선	20213049	2021.10.21	한식
5507	(주)경성키친	이천국밥수육	최보선	20213048	2021.10.21	기타 외식
5506	(주)경성키친	강남쭈꾸미	최보선	20213058	2021.10.21	한식
5505	(주)경성키친	경성분식	최보선	20213051	2021.10.21	분식
5504	(주)경성키친	찌개대첩	최보선	20213060	2021.10.21	한식
5503	(주)경성키친	봉식이치킨	최보선	20213054	2021.10.21	치킨
5502	(주)경성키친	경성매운갈비찜	최보선	20213047	2021.10.21	기타 외식
5501	(주)경성키친	고저스혼술혼밥	최보선	20213050	2021.10.21	기타 외식
5500	(주)경성키친	아이스밀킷	최보선	20213052	2021.10.21	기타 외식
5499	(주)경성키친	경성다이닝	최보선	20213053	2021.10.21	기타 외식
5498	(주)육칠팔	백정	김기곤	20090100130	2009.03.06	기타 외식
5497	(주)육칠팔	육칠팔	김기곤	20090100133	2009.03.06	한식
5496	(주)육칠팔	치킨678	김기곤	20110100132	2011.05.04	기타 외식
5495	(주)더히트	더히트원	박용찬	20240507	2024.03.29	기타도소매
5494	(주)하우와이컴퍼니	하와이조개	이경욱	20220832	2022.08.17	기타 외식
5493	㈜라와에프앤씨	라와	JIN CHENGHAO	20212856	2021.10.19	중식
5492	조은맘산후도우미	조은맘	윤예지	20170810	2017.07.13	인력 파견
5491	(주)더제이케이푸드스토리	키친박스	금종복	20120100318	2012.07.16	패스트푸드
5490	(주)팀씨	고씨네	최성필	20190807	2019.08.07	일식
5489	(주)펫클럽	하우펫	정성훈	20212292	2021.09.29	종합소매점
5488	(주)펫클럽	펫클럽	정성훈	20130121	2013.08.14	종합소매점
5487	(주)개벽교육	잠룡승천수학학원	박완기	20230462	2023.03.24	교육 (외국어)
5486	(주)그리너에프엔비	그리너	황규성	20201276	2020.09.25	기타 외식
5485	(주)그리너에프엔비	그리너 그릭요거트	황규성	20220926	2022.09.06	기타 외식
5484	(주)그리너에프엔비	그리너 포케	황규성	20220915	2022.09.05	기타 외식
5483	(주)엔케이코리아	KMGM HOLD’EM & EVENT PUB(케이엠지엠홀드이엠앤이벤트펍)	황성일	20180414	2018.04.30	주점
5482	(주)화이트리에(WhitelierInc.)	화이트리에	김지현	20240478	2024.03.29	제과제빵
5481	(주)도토리에듀	데이지영어	이지해	20211545	2021.07.09	교육 (외국어)
5480	(주)미지에듀	라오나토뷰티스쿨	이미애	20151177	2015.11.27	이미용
5479	(주)미지에듀	SBS아카데미뷰티스쿨	이미애	20120100170	2012.04.18	이미용
5478	핏라이프스타일해운대	핏 라이프스타일(FIT LIFESTYLE)	이숭준	20241044	2024.07.30	스포츠 관련
5477	굿모닝푸드	가마솥 닭한마리	장윤재	20241045	2024.07.30	한식
